"";"dgp";"t";"avr";"gs";"zint";"z2int";"rz1";"rz1m2";"rz1m5";"aq5";"aq20";"rz1m10"
"1";"ma2";25;0,236;0,266;0,052;0,078;0,186;0,218;0,254;0,264;0,264;0,246
"2";"ma2";50;0,488;0,502;0,248;0,284;0,396;0,426;0,434;0,558;0,556;0,354
"3";"ma2";100;0,752;0,816;0,536;0,62;0,57;0,73;0,75;0,832;0,826;0,58
"4";"ma2";200;0,94;0,98;0,84;0,902;0,764;0,924;0,97;0,988;0,988;0,896
